Hiking trails,,,,,,,,,,
Trailhead,Restroom,Park Fee,Bikes,Dogs,Location,,,,,
Beach Park,,x,,,,,,,,"40.012220922036754, -105.27695895560281"
Bear Creek Park,,,,,,,,x,,"39.97884778939218, -105.26077425456708"
Bill Bower Park,,x,,,,,,x,x,"39.98178921485027, -105.25626688919138"
Boulder Resevoir,,x,,x,,,x,,x,"40.07391099661011, -105.23711910453102"
Campbell Robertson Park,,,,,,,,x,,"40.01737454646853, -105.28942170453323"
Canyon Pointe Park,,,,,,,,x,,"40.01539391627745, -105.28652476035427"
Catalpa Park,,x,,,,,,,x,"40.0418419228853, -105.27272988733839"
Central Park and Civic Area,,,,,,,,x,x,"40.01568756511576, -105.27843927384681"
Chautauqua Park,x,x,x,,x,,,x,x,"39.999405050642366, -105.28143522966836"
Christensen Park,x,x,,,,,,x,x,"40.03093455030062, -105.2392657431597"
Columbine Park,,x,,x,x,,,,,"40.03314785488435, -105.26866980239821"
Coot Lake,,,,x,,,,,x,"40.08604211974694, -105.20715224107033"
Crestview Park,,,,,,,,,,"40.05336626061676, -105.27533610387704"
Dakota Park,x,x,,,,,,x,x,"40.06619059471615, -105.28757688745813"
East Boulder Community Center,,x,x,,,,,x,x,"39.99233429454641, -105.21997204316122"
East Boulder Community Park,x,x,,x,x,x,x,x,x,"39.99220229621591, -105.21995698548965"
East Mapleton Ballfields,x,x,x,,,,,x,x,"40.02542872513048, -105.25563208733904"
Eaton Park,x,,,,,,,x,x,"40.064847722392244, -105.20123156721694"
Eben G. Fine Park,x,x,x,,,,,x,x,"40.013195271559766, -105.29490344316042"
Edward Sell Smith Park,,x,,,,,,,,"40.004603125134786, -105.28846254501137"
Elks Park,x,,,x,,,,x,x,"40.04790767857579, -105.25968687199489"
Elmer's Two Mile Park,x,x,,,,,,,x,"40.03487794385818, -105.26102798733864"
Emma Gomez Martinez Park,,x,,,,x,,x,x,"40.0178525952937, -105.26813601617509"
Evert Pierson's Kids Fishing Pond,,,,,,,,x,x,"40.01469216643419, -105.28573553151844"
Flatirons Golf Course,,x,,x,,,,x,x,"40.01160247914889, -105.22036075665305"
Foothills Community Garden,,,,,,,,x,x,"40.05481181327205, -105.2866754738453"
Foothills Community Park,x,x,x,,,,,,,"40.05695510122227, -105.28787041247229"
Fortune Park,,,,,,,,,x,"40.0151810166364, -105.28990354501101"
Frederick Law Olmsted Jr Park,,,,,x,,x,x,x,"40.03260589125244, -105.28056824315968"
Gerald Stazio Ballfields,x,x,x,x,,,,,x,"40.02338308263974, -105.21272673151807"
Greenleaf Park,,,x,,,x,,x,x,"40.021894036046795, -105.26379695453302"
Harlow Platts Community Park,x,x,,x,x,,,x,x,"39.97476892836486, -105.24850858549028"
Holiday Park,,x,,,,,,x,x,"40.05976869512371, -105.27923184500925"
Howard Heuston Park,,x,,,,x,,,,"40.03338705974661, -105.24801255850286"
Keewaydin Meadows Park,x,x,,,x,,,x,x,"39.99305361088058, -105.22847050268344"
Martin Park,x,x,,x,x,x,,x,x,"39.98913324135567, -105.24971618548975"
Maxwell Lake Park,,,,,,,,,x,"40.04170972328337, -105.2875350315174"
Meadow Glen Park,,x,,,,x,,,x,"40.00676882848165, -105.22153283151874"
Melody Park,x,x,,,,,,,,"40.04052488780117, -105.27788041802484"
North Boulder Park,x,x,x,x,,x,,,,"40.02771269550827, -105.28643430083144"
North Boulder Recreation Center,,,x,,,,,x,x,"40.0325064171567, -105.28038517199546"
Palo Central Park,,,,,,,,,x,"40.04487843344396, -105.24983420268147"
Palo East,,x,,,,,,x,x,"40.04635788287066, -105.24984337569627"
Palo North,,,,,x,,,x,x,"40.048074678112954, -105.25431588918876"
Parkside Park,x,x,,,,x,,,,"40.038788209147675, -105.26441586800615"
Pearl Street Mall,,,x,,,,,x,x,"40.01832234395769, -105.2793659738467"
Pineview Park,x,x,,,,,,,,"40.038568419610264, -105.2745232026817"
Pleasent View Park,,,x,x,,,,x,x,"40.04236672159987, -105.24720273120764"
Salberg Park,x,x,x,,,x,,x,,"40.03130617443956, -105.27277698548806"
Scott Carpenter Park and Pool,x,x,x,x,,,,x,x,"40.011868674275036, -105.25488234501115"
Shanahan Ridge Park,,x,,,,,,x,,"39.96556100024061, -105.25192131432648"
South Boulder Recreation Center,,,x,,,,,x,x,"39.97484997182543, -105.24864854501253"
Spruce Pool,,,x,,,,,x,,"40.021349784591415, -105.26788202966755"
Tantra Park,x,x,,x,,,,,x,"39.98016666673306, -105.24041122967658"
Tom Watson Park,,x,,x,x,x,x,,,"40.08607073910712, -105.20654866035146"
Valmont City Park,x,x,x,x,,,,x,x,"40.02881916210251, -105.23607361802533"
Violet Park,,,,,,,,x,x,"40.05520828262219, -105.27736781617365"
Wonderland Lake Park,x,x,,,,,,,x,"40.04871667633385, -105.29015771802453"
